Time,classifier
,6701
,600
,50
,500
,851
,550
,250
,351
,201
,749
,250
,551
,300
,550
,250
,551
,800
,450
,650
,750
,400
,900
,400
,401
,250
,900
,650
,550
,900
,399
,201
,8652
,700
,850
,500
,500
,199
,549
,200
,450
,151
,400
,150
,451
,149
,249
,199
,300
,200
,249
,199
,1151
,1349
,15703
,650
,450
,150
,450
,201
,300
,150
,349
,151
,300
,850
,251
,200
,250
,300
,851
,149
,250
,200
,200
,201
,550
,50
,0
,50
,3751
,2750
,199
,1351
,200
,801
,400
,199
,1101
,150
,401
,250
,2100
,251
,900
,150
,751
,150
,950
,250
,150
,0
,650
,101
,1250
,401
,1100
,201
,1000
,200
,501
,250
,1851
,250
,400
,200
,600
,200
,401
,200
,250
,200
,1300
,450
,451
,4001
,350
,250
,950
,0
,0
,31504
,51
,550
,650
